u;g;r;i;z;specobjid;redshift;plate;mjd;class
1796967;1706885;1677602;1665815;1660409;839000000000000000000000;0.000310705;7456;56727;STAR
1918364;1695643;1593134;1552509;1529773;839000000000000000000000;0.000658555;7456;56727;STAR
1856336;1763531;1724414;1709406;1702098;839000000000000000000000;0.000198003;7456;56727;STAR
1654492;1544219;1499683;1482111;1476502;3310000000000000000000;0.000223122;294;51986;STAR
1894997;1814569;1792771;1781157;178007;329000000000000000000000;0.000353473;2926;54625;STAR
192052;1789232;1734715;171118;1703429;839000000000000000000000;9.43E-05;7456;56727;STAR
1843867;1702725;1629835;1588346;1557929;33100000000000000000000;0.08466341;294;51986;GALAXY
179241;1654516;1604758;1588647;1581988;839000000000000000000000;-3.53E-05;7456;56727;STAR
1890691;1725967;1669534;164959;1642205;839000000000000000000000;-0.000104035;7456;56727;STAR
1793498;1655572;1595159;1570138;1555488;839000000000000000000000;-0.000203605;7456;56727;STAR
1868226;1752212;17132;1699078;1695238;33100000000000000000000;-0.000239042;294;51986;STAR
1724914;1561597;1499571;1476664;1463486;327000000000000000000000;-0.000174833;2901;54652;STAR
1797728;1708235;1679874;1669605;1665909;839000000000000000000000;0.000292937;7456;56727;STAR
1882291;161427;1491105;1446399;1420706;327000000000000000000000;-4.88E-05;2901;54652;STAR
1787521;1658622;1617974;1604951;1599767;839000000000000000000000;-0.000133681;7456;56727;STAR
1945225;1819144;1757734;171347;1693178;33100000000000000000000;0.08149845;294;51986;GALAXY
1898722;1724205;1635865;1592408;1557912;33100000000000000000000;0.08164962;294;51986;GALAXY
1925841;1783725;1710895;1665463;1640142;33100000000000000000000;0.08361565;294;51986;GALAXY
1953724;176856;1680624;1635671;1603229;33100000000000000000000;0.08134668;294;51986;GALAXY
1835398;1793098;1805724;1819904;1844381;33100000000000000000000;-5.44E-05;294;51986;STAR
169288;1566604;1576036;1585543;1593302;839000000000000000000000;-0.000505797;7456;56727;STAR
1943389;190389;188754;1861559;1858644;33100000000000000000000;0.5837151;294;51986;QSO
1878993;1746638;1674135;1634335;1607928;33200000000000000000000;0.1412275;295;51985;GALAXY
1856834;1755382;1724229;17142;1711325;839000000000000000000000;0.000269482;7456;56727;STAR
1699394;1573226;1531457;1518011;1511469;329000000000000000000000;-0.000228716;2926;54625;STAR
1755858;1532449;1442141;1452631;1397417;33100000000000000000000;-6.79E-05;294;51986;STAR
187211;171022;1644853;161998;1603582;839000000000000000000000;8.84E-05;7456;56727;STAR
1822794;1668215;1609734;1590972;1579942;839000000000000000000000;6.99E-05;7456;56727;STAR
1787599;1631599;1573033;1550656;1539252;321000000000000000000000;-6.14E-05;2852;54468;STAR
1722548;1571041;1510089;1483332;1468923;321000000000000000000000;0.00034489;2852;54468;STAR
1958094;1857637;1815829;1798241;1792779;323000000000000000000000;0.000887957;2867;54479;STAR
1925974;1800986;1753096;1723808;1708458;30300000000000000000000;0.04552755;269;51910;GALAXY
1831744;168568;1635073;161841;1611247;321000000000000000000000;-4.82E-06;2852;54468;STAR
1762459;1616584;1562385;1544141;1535783;321000000000000000000000;-0.000162583;2852;54468;STAR
1733107;1641841;1612802;1602151;1598649;321000000000000000000000;0.000614576;2852;54468;STAR
1930671;1813841;1764711;1745595;173589;321000000000000000000000;0.000573352;2852;54468;STAR
1874585;1716286;1640765;1601444;1572605;30300000000000000000000;0.03229077;269;51910;GALAXY
182508;1710107;1657613;1619083;1595732;30300000000000000000000;0.04620731;269;51910;GALAXY
1784598;1673731;1623418;1592681;1573382;30300000000000000000000;0.04659506;269;51910;GALAXY
1776233;1664459;1617845;158629;1563265;30300000000000000000000;0.0463645;269;51910;GALAXY
1955684;1862743;1840178;1832479;1829009;323000000000000000000000;-0.00010265;2867;54479;STAR
1788684;1600563;150993;1463778;1430061;30300000000000000000000;0.06219585;269;51910;GALAXY
1884721;1726369;1664487;1634792;1612976;30300000000000000000000;0.0455955;269;51910;GALAXY
1737115;1584286;1523106;1498188;1484333;321000000000000000000000;8.75E-06;2852;54468;STAR
1897595;1799892;1751334;1707997;1693605;3030000000000000000000;0.06594614;269;51910;GALAXY
1841546;1661751;158797;1561639;154683;321000000000000000000000;0.00013515;2852;54468;STAR
1881863;1852837;1808999;177423;1765442;30300000000000000000000;0.2140629;269;51910;QSO
1928819;1757117;1668612;1625317;1602441;30300000000000000000000;0.0627381;269;51910;GALAXY
1671337;1562561;1529305;1518932;1516007;321000000000000000000000;0.000122655;2852;54468;STAR
1901097;173055;1646524;1605206;1570793;30300000000000000000000;0.06817851;269;51910;GALAXY
1744236;1571426;1513466;1496197;1486963;321000000000000000000000;0.000234605;2852;54468;STAR
1922758;1940259;1985248;2013877;207961;56400000000000000000000;0.00017301;501;52235;STAR
1849649;1775198;1755795;1746643;1727712;431000000000000000000000;2552232;3829;55300;QSO
1948026;1769214;1671715;1630135;1593822;30300000000000000000000;0.09780461;269;51910;GALAXY
1869204;1760953;1713106;1682388;1664757;30300000000000000000000;0.09841955;269;51910;GALAXY
1932625;1781828;1695504;1644193;1607552;3.03E+17;0.0624475;269;51910;GALAXY
1870243;1685093;1588851;1545638;15087;30300000000000000000000;0.09744647;269;51910;GALAXY
1634388;1446255;1358914;1318534;1290456;564000000000000000000;0.02091974;501;52235;GALAXY
1659643;1469525;1387477;134462;1314515;30300000000000000000000;0.02125578;269;51910;GALAXY
1831656;1783927;1769376;1735058;166907;30300000000000000000000;-0.000455231;269;51910;STAR
1872386;1848442;1842383;1844706;1835168;30300000000000000000000;0.772505;269;51910;QSO
1944344;1814164;1762316;1730397;1722351;30300000000000000000000;0.09747344;269;51910;GALAXY
1710543;160294;1589443;1588861;1590819;56400000000000000000000;-0.000135731;501;52235;STAR
1928307;1921879;1915193;1884037;186943;56400000000000000000000;1919409;501;52235;QSO
1770245;1622431;1551102;1515194;1483453;30300000000000000000000;0.02122282;269;51910;GALAXY
1778589;1675605;1643583;1631775;1628085;30400000000000000000000;0.000231907;270;51909;STAR
1936711;191034;1897296;1874899;1863704;30300000000000000000000;1680108;269;51910;QSO
1919634;1791763;1733215;1701293;1678773;30300000000000000000000;0.0460473;269;51910;GALAXY
1851879;1730699;1684687;1667642;1668278;30300000000000000000000;0.02124679;269;51910;GALAXY
1917902;1810703;1756003;1718151;1700788;30300000000000000000000;0.09636237;269;51910;GALAXY
1888152;1708489;1615809;1566144;1529363;30300000000000000000000;0.09493141;269;51910;GALAXY
1771111;1684019;1651777;1639133;1635657;431000000000000000000000;0.000375542;3829;55300;STAR
1943883;1782805;1699177;1659334;1628281;30400000000000000000000;0.09718207;270;51909;GALAXY
1958876;1783044;1694608;1653674;1621922;30400000000000000000000;0.09736268;270;51909;GALAXY
1831404;1703372;1690786;1687489;1685365;30400000000000000000000;0.00033816;270;51909;STAR
1958238;1771968;1670955;1629179;159331;30400000000000000000000;0.1250771;270;51909;GALAXY
1921219;178468;1718541;1676987;164577;56500000000000000000000;0.09787933;502;51957;GALAXY
1853934;1748349;1708982;1674162;1672394;86900000000000000000000;0.07441004;772;52375;GALAXY
1786578;164891;1599167;1583048;1578119;839000000000000000000000;0.000132385;7456;56727;STAR
1828032;1629778;1550957;1520541;1505962;327000000000000000000000;-7.32E-05;2901;54652;STAR
1757337;159687;1538183;1519041;151151;327000000000000000000000;3.64E-05;2901;54652;STAR
1815904;1722439;1685924;1672534;1668508;839000000000000000000000;0.00047132;7456;56727;STAR
1799148;1652407;1608967;1578902;1562116;33200000000000000000000;0.04006456;295;51985;GALAXY
1912321;1800012;1757241;1738683;1730118;33200000000000000000000;0.0001213;295;51985;STAR
1638725;14683;1411096;1393431;1389305;327000000000000000000000;-0.000223406;2901;54652;STAR
1687035;1567476;1583778;1597273;1609186;327000000000000000000000;-0.000236146;2901;54652;STAR
1779104;169053;165555;164166;1638062;839000000000000000000000;9.86E-05;7456;56727;STAR
1952133;1820543;1764638;1744315;1733487;839000000000000000000000;0.000716754;7456;56727;STAR
1858996;1643963;1553196;1521904;1506059;327000000000000000000000;-0.000151659;2901;54652;STAR
1741186;1631802;1585709;1564335;1555049;839000000000000000000000;0.000576756;7456;56727;STAR
1838287;1747519;1724636;1714971;1716956;839000000000000000000000;-0.000109399;7456;56727;STAR
1806167;1653055;1595498;1576055;1565559;839000000000000000000000;-8.02E-05;7456;56727;STAR
1693318;1545979;1476197;1436404;1408373;33200000000000000000000;0.03934706;295;51985;GALAXY
1932496;1744422;1677153;1634093;1611381;33200000000000000000000;0.09100591;295;51985;GALAXY
1719951;1627511;1599025;1587293;1585862;839000000000000000000000;0.00031705;7456;56727;STAR
1660646;1507538;145603;143809;1432473;327000000000000000000000;-2.19E-05;2901;54652;STAR
1750077;1659289;1630168;1616106;1616375;839000000000000000000000;0.000352884;7456;56727;STAR
1922969;1787892;1730252;1695057;1674284;33200000000000000000000;0.09301001;295;51985;GALAXY
1959801;1807479;1745277;1717117;170358;839000000000000000000000;0.000394663;7456;56727;STAR
1949611;1863479;1837515;1824717;1822807;32900000000000000000000;-6.53E-05;2926;54625;STAR
1817037;1645852;1570875;1533852;1507288;33200000000000000000000;0.03891782;295;51985;GALAXY
1916979;1775335;1724358;1707196;1698355;839000000000000000000000;-0.000151167;7456;56727;STAR
1909871;1787135;1748459;1717571;1710167;33200000000000000000000;0.08585396;295;51985;GALAXY
1845975;1754835;1727931;1718939;1719361;839000000000000000000000;0.00051634;7456;56727;STAR
1857268;1768544;1739564;1730085;1731171;839000000000000000000000;7.20E-05;7456;56727;STAR
1658671;152624;1483167;1467067;1462241;327000000000000000000000;4.35E-05;2901;54652;STAR
1943431;180457;1731449;1691534;1664837;33200000000000000000000;0.1278408;295;51985;GALAXY
1874376;1771786;173041;1704986;1690787;33200000000000000000000;0.03855666;295;51985;GALAXY
1923424;1774822;1709901;1685333;1674094;839000000000000000000000;7.71E-05;7456;56727;STAR
1923123;1828949;180254;1793556;1796508;839000000000000000000000;-0.00012862;7456;56727;STAR
1955043;1763418;1668731;1633836;1585801;33200000000000000000000;0.08594441;295;51985;GALAXY
1873052;1760766;1722962;16.98;16827;33200000000000000000000;0.03627155;295;51985;GALAXY
1699586;1533315;1457367;1419639;1395269;33200000000000000000000;0.04726082;295;51985;GALAXY
1832668;172358;1686245;1656596;163837;3320000000000000000000;0.04076417;295;51985;GALAXY
1830461;1642967;1574413;1552629;1543237;839000000000000000000000;3.01E-05;7456;56727;STAR
1922207;1819633;1785974;1771483;1768608;839000000000000000000000;0.000649404;7456;56727;STAR
1917287;1722176;163186;159246;1560782;3320000000000000000000;0.08367842;295;51985;GALAXY
1916203;1769562;1707531;1681978;1667176;839000000000000000000000;-3.77E-05;7456;56727;STAR
1877528;1727525;1669998;165163;1647573;839000000000000000000000;5.44E-05;7456;56727;STAR
1914215;1839816;180751;1805054;1787901;33200000000000000000000;1348672;295;51985;QSO
190442;1792999;1744976;1724063;1715887;839000000000000000000000;0.000266083;7456;56727;STAR
1934678;1806577;1754119;1734465;1725396;839000000000000000000000;8.83E-05;7456;56727;STAR
1924835;1823596;1770237;1748198;1737302;839000000000000000000000;0.000165695;7456;56727;STAR
1939517;1811368;1732487;1688535;1661291;33300000000000000000000;0.1162182;296;51984;GALAXY
1667205;1574605;1553511;1544562;1545421;327000000000000000000000;-1.98E-05;2901;54652;STAR
1719994;1560204;1504715;1481275;1471834;327000000000000000000000;-0.000197398;2901;54652;STAR
193866;1787094;1700603;165376;1623806;33200000000000000000000;0.1507269;295;51985;GALAXY
1900532;1750731;1689925;1667121;1660278;351000000000000000000000;-4.28E-05;3114;54773;STAR
1949236;1901968;1836468;1789604;1769845;48400000000000000000000;0.2189555;430;51877;QSO
1934234;168653;1576033;1536658;1516471;351000000000000000000000;3.89E-05;3114;54773;STAR
1959717;1817876;1762489;1733121;1725315;48400000000000000000000;0.04474851;430;51877;GALAXY
1706291;1583722;1519107;1482876;1449955;48400000000000000000000;0.0322598;430;51877;GALAXY
1948516;1784299;1700343;1655553;162119;48400000000000000000000;0.0762819;430;51877;GALAXY
1763918;1631613;1566151;1530627;1501323;48400000000000000000000;0.04434437;430;51877;GALAXY
1861064;1764683;1734004;1712251;1706444;48400000000000000000000;0.04420754;430;51877;GALAXY
1930456;1790898;1719643;1680509;1652782;48400000000000000000000;0.1612062;430;51877;GALAXY
1936923;1829096;1802669;1789314;1786019;351000000000000000000000;-0.000562589;3114;54773;STAR
1846857;174115;1701988;1679133;1666546;4840000000000000000000;0.03276403;430;51877;GALAXY
1815906;1709427;1665553;1647994;1641845;351000000000000000000000;-9.92E-05;3114;54773;STAR
1858389;1726544;1662664;1623079;1599505;48100000000000000000000;0.06525791;427;51900;GALAXY
1823229;1675081;1636956;1613766;1600262;4810000000000000000000;0.03308931;427;51900;GALAXY
183723;1648353;155034;1500898;1465748;48100000000000000000000;0.07588956;427;51900;GALAXY
1853995;1659884;1563533;1516771;1483766;48400000000000000000000;0.07472619;430;51877;GALAXY
1940189;1880036;1841784;1809106;1814936;48100000000000000000000;0.1563322;427;51900;GALAXY
1743204;1599735;1537239;151054;149892;351000000000000000000000;0.000400321;3114;54773;STAR
1859712;1656752;1561064;1517311;1488491;48100000000000000000000;0.05665947;427;51900;GALAXY
1781166;1648069;159507;157597;1569557;351000000000000000000000;-8.41E-05;3114;54773;STAR
1855092;1737992;169386;1665784;1650178;48100000000000000000000;0.04426703;427;51900;GALAXY
1953784;1724979;1621342;1584552;1563941;351000000000000000000000;7.68E-05;3114;54773;STAR
1903617;17644;1702892;1678134;1666678;351000000000000000000000;-0.000796145;3114;54773;STAR
1740929;1736016;1757782;1774931;1794266;48400000000000000000000;-0.000609079;430;51877;STAR
1957349;1822799;1765617;1741445;1730282;351000000000000000000000;-0.000667512;3114;54773;STAR
1776487;165598;1603742;1581277;1572791;351000000000000000000000;-0.000350966;3114;54773;STAR
1906221;1808905;1776753;1767213;1764497;524000000000000000000000;0.00026529;4656;55828;STAR
1925187;1815387;1775053;1762082;1757302;48100000000000000000000;3.16E-05;427;51900;STAR
1854222;1677641;1593394;1553653;1522721;48100000000000000000000;0.04511794;427;51900;GALAXY
1890929;1655076;15566;1522896;1504877;48100000000000000000000;0.000158424;427;51900;STAR
1755346;1624488;1560116;1523986;1496606;48100000000000000000000;0.04526811;427;51900;GALAXY
1933166;1896979;1860502;1854461;1834545;48100000000000000000000;0.9916852;427;51900;QSO
1880985;1756864;1682141;1641018;1616438;48100000000000000000000;0.1258878;427;51900;GALAXY
1853228;1736634;1692404;1670494;1648575;48100000000000000000000;0.02670246;427;51900;GALAXY
1908916;1811381;1776143;1763206;1757405;524000000000000000000000;-0.000583545;4656;55828;STAR
1788235;1655729;1578179;1529738;1498954;48100000000000000000000;0.08593909;427;51900;GALAXY
1870929;173938;1745307;1754761;1760175;48100000000000000000000;-0.000850843;427;51900;STAR
1954536;1778521;1683193;16318;1589327;48100000000000000000000;0.04637318;427;51900;GALAXY
1941821;1904386;184175;1831684;1830421;48100000000000000000000;1343429;427;51900;QSO
1911411;1900554;1884369;1855725;1846639;48100000000000000000000;1858972;427;51900;QSO
1946759;1743751;1646473;1600668;1564773;48100000000000000000000;0.06272203;427;51900;GALAXY
1864529;1737859;1680862;1649642;1641288;48100000000000000000000;0.02661281;427;51900;GALAXY
1772509;1654095;1604544;1584957;1578428;4820000000000000000000;-4.31E-05;428;51883;GALAXY
1912023;1885481;1847318;1829719;1819885;48100000000000000000000;1398741;427;51900;QSO
1934676;1832704;1758661;1714633;168604;48200000000000000000000;0.1623811;428;51883;GALAXY
1846595;1692779;160928;1562426;1528338;48200000000000000000000;0.07817293;428;51883;GALAXY
1948548;1754881;165104;1601325;1563476;48100000000000000000000;0.1164816;427;51900;GALAXY
1916055;1780318;172475;1688805;1670681;48200000000000000000000;0.04808245;428;51883;GALAXY
1806962;1607062;1521775;1480347;1447701;48200000000000000000000;0.03465885;428;51883;GALAXY
179282;16.82;1627798;1585425;1568027;56600000000000000000000;0.09337822;503;51999;GALAXY
18505;1711228;1631631;1580802;1554208;56600000000000000000000;0.07870676;503;51999;QSO
1582069;1482276;143413;141126;1392004;56600000000000000000000;0.02162867;503;51999;GALAXY
1823752;179843;1784934;1763737;1762542;431000000000000000000000;1614863;3831;55543;QSO
1941738;1819569;1762483;1726997;1704563;56600000000000000000000;0.07329842;503;51999;GALAXY
1878596;1827246;1786195;175337;1731889;56800000000000000000000;1937495;504;52316;QSO
1879486;1679762;1581122;1538474;1504171;30600000000000000000000;0.1004318;272;51941;GALAXY
1684189;1502242;1417648;137782;1346235;3060000000000000000000;0.02170384;272;51941;GALAXY
1919556;1772278;1695226;1652765;1623658;56600000000000000000000;0.09733431;503;51999;GALAXY
1957071;1804616;1723199;1675479;164637;30600000000000000000000;0.1015487;272;51941;GALAXY
1939188;1814449;1754193;1720772;1696955;30600000000000000000000;0.1002754;272;51941;GALAXY
1937885;1799448;1729214;1690149;1660631;30600000000000000000000;0.1029905;272;51941;GALAXY
1933725;1794087;1732766;1692705;1669802;30600000000000000000000;0.1023865;272;51941;GALAXY
18984;1704196;1605167;1563595;1530397;30600000000000000000000;0.1031016;272;51941;GALAXY
1935139;1796256;1731813;1696556;167091;56800000000000000000000;0.09664014;504;52316;GALAXY
192723;1728528;1629763;1589044;1552971;30600000000000000000000;0.09788103;272;51941;GALAXY
1901802;1782012;1721021;1682471;1658229;30600000000000000000000;0.09811465;272;51941;GALAXY
1880906;1667648;1563108;1518626;1484783;534000000000000000000000;0.09613801;4739;55644;GALAXY
1939994;1896524;1876971;18769;1869022;431000000000000000000000;2252249;3832;55289;QSO
1901164;1782121;1725091;1687909;1671565;30600000000000000000000;0.09662619;272;51941;GALAXY
1727633;1559686;1479755;1436533;1402171;3060000000000000000000;0.02206458;272;51941;GALAXY
1615333;1469591;1402366;1362593;1332399;5670000000000000000000;0.02238173;504;52316;GALAXY
1782972;1684997;1652111;1638367;1635341;30700000000000000000000;0.000188338;273;51957;STAR
1817796;1704094;1661012;1634855;1619328;30600000000000000000000;0.02171454;272;51941;GALAXY
1816587;1709403;1667676;1644368;1625431;30700000000000000000000;0.02231555;273;51957;GALAXY
1629776;1526695;150939;1505828;1510017;30700000000000000000000;1.21E-05;273;51957;STAR
1749069;1649554;1602676;1579563;156379;3070000000000000000000;0.02852034;273;51957;GALAXY
1946144;182571;1775843;1746453;1731939;30700000000000000000000;0.09728704;273;51957;GALAXY
1954398;1853485;1837981;1836561;183968;30700000000000000000000;0.000212831;273;51957;STAR
19.44;1829766;1774748;1742278;1724144;30700000000000000000000;0.08839007;273;51957;GALAXY
1877344;1784533;1750861;1737881;1733541;43100000000000000000000;-8.56E-05;3832;55289;STAR
1922795;1798775;1742008;1705435;1685235;30700000000000000000000;0.05075456;273;51957;GALAXY
1897311;1711978;1620756;1581769;1548408;30700000000000000000000;0.1069799;273;51957;GALAXY
1936776;1809338;1750092;1712715;1699715;30700000000000000000000;0.09744141;273;51957;GALAXY
192239;1830091;1804615;1791916;1788363;5690000000000000000000;0.000107524;505;52317;STAR
1943271;1792186;1706431;165877;163089;56900000000000000000000;0.09694496;505;52317;QSO
190506;1778832;1716259;1677885;1656362;56900000000000000000000;0.09691706;505;52317;GALAXY
1925376;1792825;1725873;1686062;166233;30700000000000000000000;0.08739827;273;51957;GALAXY
1930972;1946429;1932868;1921146;1921713;30700000000000000000000;1436365;273;51957;QSO
1951797;1834108;1767408;1722661;170058;56900000000000000000000;0.127444;505;52317;GALAXY
1953878;180707;1726627;1681762;1646684;56900000000000000000000;0.1056942;505;52317;GALAXY
1919571;1757391;1666796;1602787;1567204;30800000000000000000000;0.06574766;273;51957;GALAXY
1934995;1905876;1893439;1862518;1863936;56900000000000000000000;165746;505;52317;QSO
1892148;1772924;1707456;1671359;1649339;56900000000000000000000;0.1280559;505;52317;GALAXY
1934376;1826366;177937;1748838;1729639;56900000000000000000000;0.1070084;505;52317;GALAXY
1883444;1688334;1591768;1548503;1512418;56900000000000000000000;0.09660596;505;52317;GALAXY
1897681;1790354;1750969;1722107;1716751;56900000000000000000000;0.07016161;505;52317;GALAXY
193834;1748613;1656103;1616639;1584471;56900000000000000000000;0.09612575;505;52317;GALAXY
192476;1834574;1796171;1782307;1774588;432000000000000000000000;0.000156118;3833;55290;STAR
1942243;1750313;1663027;1622199;158865;30500000000000000000000;0.07038519;271;51883;GALAXY
193414;1747451;1653033;1609792;1576174;30500000000000000000000;0.08454417;271;51883;GALAXY
1888691;1871759;1825798;180214;175892;3050000000000000000000;0.2774611;271;51883;QSO
1913346;1759563;1687067;1646856;1623406;30500000000000000000000;0.09488719;271;51883;GALAXY
1867767;1740401;1682637;1643963;1621605;3050000000000000000000;0.09481686;271;51883;GALAXY
1923398;1720226;1621497;1578067;1545593;3050000000000000000000;0.09595764;271;51883;GALAXY
1910529;1783982;1727423;1689955;167092;30500000000000000000000;0.09737416;271;51883;GALAXY
1878365;1712004;1622586;1577027;1541088;30500000000000000000000;0.09808913;271;51883;GALAXY
1938078;1760579;166898;1625387;1592419;30500000000000000000000;0.1167877;271;51883;GALAXY
1920634;1779359;1700154;1655965;1621648;30500000000000000000000;0.09462593;271;51883;GALAXY
1850056;1750756;1700389;1666908;1646228;30500000000000000000000;0.09658662;271;51883;GALAXY
1945778;1826242;1773939;1742722;1721388;30600000000000000000000;0.09437191;272;51941;GALAXY
192575;1812506;1756038;1719979;1696601;30600000000000000000000;0.09566105;272;51941;GALAXY
1909695;1744921;1660582;1611522;1567483;30500000000000000000000;0.0466034;271;51883;GALAXY
1870158;1674288;1582994;1537876;1505532;30500000000000000000000;0.07095178;271;51883;GALAXY
1853875;1684373;15984;1549936;1514181;30600000000000000000000;0.06256464;272;51941;GALAXY
1885454;1716992;1621525;1573641;1532252;30500000000000000000000;0.0208566;271;51883;GALAXY
1909322;185456;1805705;1759463;1748582;3060000000000000000000;0.1477345;272;51941;QSO
1928999;1752542;1667999;1625307;1592428;30600000000000000000000;0.09541611;272;51941;GALAXY
1829923;1627507;1529161;1485673;145159;30500000000000000000000;0.09555726;271;51883;GALAXY
1696421;1580865;1539352;1524668;1519961;3050000000000000000000;-0.000293669;271;51883;STAR
1953011;1933351;1921469;1904122;1897307;3050000000000000000000;1454275;271;51883;QSO
1948566;18161;1748955;1704429;1676589;30500000000000000000000;0.09665173;271;51883;GALAXY
1906703;1745259;1665868;1619909;1587308;3050000000000000000000;0.06404451;271;51883;GALAXY
1634739;1501962;1438505;1406982;1381414;30500000000000000000000;0.02148222;271;51883;GALAXY
1745059;1572079;1490642;1447219;1409925;3050000000000000000000;0.02134296;271;51883;GALAXY
1940373;1793342;1712473;1668318;1637335;30500000000000000000000;0.07240278;271;51883;GALAXY
1812925;1618496;1524689;1481013;1446099;30500000000000000000000;0.07134143;271;51883;GALAXY
1896931;1703969;16035;156187;1525381;30500000000000000000000;0.1111002;271;51883;GALAXY
193946;1740663;163835;1593602;1555753;30500000000000000000000;0.1096946;271;51883;GALAXY
1937557;1928302;1912341;1908707;1909611;30500000000000000000000;1368632;271;51883;QSO
1945276;1808233;1740516;1701789;1676619;30600000000000000000000;0.0944031;272;51941;GALAXY
1847797;1719529;1657952;1621368;159755;3050000000000000000000;0.09462369;271;51883;GALAXY
1812187;1720591;1692562;1682563;1678477;431000000000000000000000;0.000674836;3832;55289;STAR
1807154;1824297;1820849;1783941;1781692;43100000000000000000000;1900196;3832;55289;QSO
1881806;1766573;1714927;1675297;1655175;30600000000000000000000;0.0931733;272;51941;GALAXY
1896063;1707247;160518;1564387;154062;30600000000000000000000;0.09403592;272;51941;GALAXY
1759656;1645986;1603699;1587612;1583298;30600000000000000000000;0.000271729;272;51941;STAR
1907018;177382;170398;1661937;1634582;30600000000000000000000;0.09631827;272;51941;GALAXY
1931438;1804084;1746873;1712273;1683391;30600000000000000000000;0.09697206;272;51941;GALAXY
192867;1795832;1717408;1674475;1641903;30600000000000000000000;0.1482422;272;51941;GALAXY
1904664;1775015;1702055;1662188;163522;3060000000000000000000;0.09771555;272;51941;GALAXY
1953033;1823362;1762391;1724792;1699929;30600000000000000000000;0.09793318;272;51941;GALAXY
1872215;1783464;1747776;1732914;172779;43100000000000000000000;-0.000142037;3831;55543;STAR
1891356;1799653;1771507;1759024;1753243;43100000000000000000000;0.000956215;3831;55543;STAR
1884282;1757157;1702377;1681907;1670304;30600000000000000000000;-9.53E-05;272;51941;STAR
1956144;1833766;1768966;1726392;1699642;30600000000000000000000;0.09590657;272;51941;GALAXY
1906437;1780689;1721645;1698142;1681627;30600000000000000000000;0.000650725;272;51941;STAR
1897894;1809781;1777264;1766957;1764456;431000000000000000000000;0.00111629;3832;55289;STAR
1875063;1687296;1593817;1552167;1519163;31100000000000000000000;0.07578713;276;51909;GALAXY
184713;170771;1650801;1628682;1618174;28800000000000000000000;3.78E-05;2559;54208;STAR
1778758;166605;1613689;1592427;1582901;28800000000000000000000;0.00044834;2559;54208;STAR
1789799;1679939;1639906;1625678;1620707;28800000000000000000000;0.00083188;2559;54208;STAR
1763571;1652615;1617197;1605017;1600087;28800000000000000000000;3.46E-05;2559;54208;STAR
1751152;1535083;1463736;1441123;1431494;26900000000000000000000;0.000165944;2389;54213;STAR
1747665;1589109;1530462;1512684;1506176;269000000000000000000000;0.000116993;2389;54213;STAR
1949772;174622;1628289;1580859;1541289;31000000000000000000000;0.1478106;275;51910;GALAXY
1878831;1760089;1712693;1679439;1661708;31000000000000000000000;0.09073859;275;51910;GALAXY
1872679;1740929;1690524;167261;1663585;269000000000000000000000;0.000529375;2389;54213;STAR
1872364;1735558;1674915;1653477;1641882;269000000000000000000000;0.000992221;2389;54213;STAR
1856322;1744405;1692844;1658421;1644485;31100000000000000000000;0.07412218;276;51909;GALAXY
19287;1787284;1708973;1671139;1643971;31100000000000000000000;0.09413385;276;51909;GALAXY
1824299;1725055;1686015;1673298;1663759;288000000000000000000000;0.00019352;2559;54208;STAR
1946585;1818705;176344;1741226;1730712;269000000000000000000000;0.000693587;2389;54213;STAR
175125;1656372;1630832;1621426;1617658;288000000000000000000000;6.74E-05;2559;54208;STAR
1925595;1823218;1783592;176817;1761131;289000000000000000000000;0.000204575;2569;54234;STAR
1891281;1789892;1754269;1732535;1736393;31100000000000000000000;0.05022789;276;51909;GALAXY
1925582;177518;1709506;168157;1669779;288000000000000000000000;5.12E-05;2559;54208;STAR
1952019;1811852;1728638;1685283;1658734;31100000000000000000000;0.1507932;276;51909;GALAXY
1932735;1875043;1854828;1886494;2045724;31100000000000000000000;0.03834658;276;51909;GALAXY
193473;1789652;1706279;166246;1633997;31100000000000000000000;0.1360248;276;51909;GALAXY
194506;1847465;1789856;1749328;1731506;31100000000000000000000;0.1091919;276;51909;GALAXY
1811868;1660754;1606214;1587771;1579407;269000000000000000000000;6.52E-05;2389;54213;STAR
1909523;1802676;1742883;1703566;1684788;3110000000000000000000;0.1476441;276;51909;GALAXY
1911149;178491;173402;1705877;1683714;31100000000000000000000;0.108132;276;51909;GALAXY
1897921;1751493;1674634;1633967;1602832;31100000000000000000000;0.1071623;276;51909;GALAXY
1799722;1698947;1665293;1652785;1647898;3110000000000000000000;0.001062651;276;51909;STAR
1951434;1793432;1703283;1659041;1621112;31100000000000000000000;0.1074267;276;51909;GALAXY
1953507;1790323;1693205;1652661;1619565;31100000000000000000000;0.147286;276;51909;GALAXY
1892941;1762752;1701937;1669861;1644604;31100000000000000000000;0.1083617;276;51909;GALAXY
1806284;1750964;177158;1790547;1809019;31100000000000000000000;-4.94E-05;276;51909;STAR
1836818;1818159;1802579;1790859;1796512;432000000000000000000000;1439045;3835;55570;QSO
1882915;1689904;1605679;1565242;1529541;31100000000000000000000;0.03850097;276;51909;GALAXY
1956975;1747402;1637658;159268;155612;31200000000000000000000;0.1261739;277;51908;GALAXY
1763885;1647471;1601081;1577671;1555998;3110000000000000000000;0.02609216;276;51909;GALAXY
